method,fold,accuracy,f1,auc,gsup,lsup,rsup,div,C_l1,C_l0,C_li,time
LIRE,5,0.8531941031941032,0.9069314641744548,0.8789642980978798,48,1.1953316953316953,0.024902743652743652,0.4886061505012297,-1.0,0.00075,10.0,164.31987023353577
LIRE,5,0.8608722358722358,0.91101944608132,0.9125653750577901,64,13.097051597051598,0.20464143120393122,0.4569501296606623,-1.0,0.001,0.1,100.00566625595093
LIRE,5,0.8608722358722358,0.9119191133579624,0.9100014550723201,71,8.02364864864865,0.11300913589645985,0.4795268155068791,-1.0,0.001,0.5,213.9661841392517
LIRE,5,0.8568796068796068,0.9090554254488681,0.9073046694405918,68,3.856572481572482,0.05671430119959532,0.49133222477320865,-1.0,0.001,1.0,409.41199827194214
LIRE,5,0.8562653562653563,0.9093374660984115,0.8987589574664817,46,2.0304054054054053,0.044139247943595764,0.48115972680030406,-1.0,0.001,5.0,148.62967252731323
LIRE,5,0.8528869778869779,0.9076893428406244,0.8790628508685027,36,1.2561425061425062,0.0348928473928474,0.4809864566055988,-1.0,0.001,10.0,109.41153120994568
LIRE,5,0.8617936117936118,0.9121436938695822,0.9082171855392642,33,7.202088452088452,0.21824510460874097,0.4532278040981355,-1.0,0.0025,0.1,62.553871631622314
LIRE,5,0.859029484029484,0.9104390243902439,0.9035145156363517,35,4.041154791154791,0.11546156546156545,0.47392183458494097,-1.0,0.0025,0.5,80.75057625770569
LIRE,5,0.85995085995086,0.9122063919907585,0.8994359272835347,25,1.3707002457002457,0.05482800982800983,0.4832809344125517,-1.0,0.0025,1.0,111.2594735622406
LIRE,5,0.8473587223587223,0.9032132424537488,0.8175509584901921,17,0.5626535626535627,0.03309726839138604,0.47775250346267695,-1.0,0.0025,5.0,88.5834412574768
LIRE,5,0.8206388206388207,0.8928833455612619,0.6761414061984018,10,0.1772113022113022,0.01772113022113022,0.49344807374797683,-1.0,0.0025,10.0,46.879483461380005
LIRE,5,0.8538083538083538,0.9083910700538876,0.8980966931675582,15,3.427825552825553,0.2285217035217035,0.43912204387001874,-1.0,0.005,0.1,39.648072957992554
LIRE,5,0.8535012285012284,0.9068177378394219,0.8934543932864406,16,1.8501228501228502,0.11563267813267813,0.47065167631644356,-1.0,0.005,0.5,50.16682434082031
LIRE,5,0.8547297297297297,0.9081375024276558,0.8916727036688461,15,1.2223587223587224,0.0814905814905815,0.4720841078155797,-1.0,0.005,1.0,56.88539218902588
LIRE,5,0.8135749385749386,0.8899365367180417,0.673800906891883,5,0.14895577395577395,0.029791154791154788,0.49028749224644913,-1.0,0.005,5.0,17.364124059677124
LIRE,5,0.8006756756756757,0.8835874439461884,0.6340629850241067,5,0.10165847665847666,0.02033169533169533,0.49561127782079967,-1.0,0.005,10.0,26.043121814727783
RF,6,0.7905405405405406,0.8786908573461402,0.8905930090482794,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6079061031341553
RuleFit,6,0.8602579852579852,0.9103448275862069,0.9156223168879203,98,31.242628992628994,0.31880233665947955,0.423746477563788,0.0005,-1.0,-1.0,1.6110639572143555
RuleFit,6,0.8602579852579852,0.9106967615309126,0.914145831269401,73,27.332616707616708,0.37441940695365356,0.40208597591804507,0.001,-1.0,-1.0,1.5439598560333252
RuleFit,6,0.8568796068796068,0.9095847885137757,0.9083095465127798,37,17.39219901719902,0.47005943289727076,0.34986999646065486,0.005,-1.0,-1.0,1.2582221031188965
RuleFit,6,0.8541154791154791,0.9083188573634433,0.9028762445512186,30,14.189496314496315,0.4729832104832105,0.33768056899444454,0.01,-1.0,-1.0,1.1860921382904053
RuleFit,6,0.8117321867321867,0.8886871254766661,0.885500771910706,8,4.935503685503686,0.6169379606879607,0.19109855591075772,0.05,-1.0,-1.0,1.075568437576294
LIRE,6,0.8581081081081081,0.9088037899723649,0.9157704040354007,106,21.83323095823096,0.20597387696444303,0.45869677371222395,-1.0,0.0005,0.1,208.28326511383057
LIRE,6,0.859029484029484,0.9096278795038394,0.9150160367545076,115,13.231572481572481,0.11505715201367375,0.4791791253076934,-1.0,0.0005,0.5,402.37169003486633
